ID,NAME,LABEL,THEME_NAME,DTT_ID2010,DTT_NM2010,DTT_LB2010,RGN_NM2012,AREA_M2,gdppersqkm,sex,Age,Estimate,Year
615,Atwima Nwabiagya,Atwima Nwabiagya,ATWIMA NWABIAGYA,514,Atwima Nwabiagye,Atwima Nwabiagye,Ashanti,579158902.2,579,m,40,4886,2015
616,Ahafo Ano South,Ahafo Ano South,AHAFO ANO SOUTH,510,Ahafo Ano South,Ahafo Ano South,Ashanti,1190404403,1190,m,40,3405,2015
617,Ahafo Ano North,Ahafo Ano North,AHAFO ANO NORTH,511,Ahafo Ano North,Ahafo Ano North,Ashanti,593322378.1,593,m,40,3222,2015
618,Offinso Municipal,Offinso Municipal,OFFINSO MUNICIPAL,506,Offinso,Offinso,Ashanti,585671791,586,m,40,2188,2015
619,Afigya Kwabre,Afigya Kwabre,AFIGYA KWABRE,525,Afigya Kwabre,Afigya Kwabre,Ashanti,409422376.9,409,m,40,5770,2015
620,Kwabre,Kwabre,KWABRE EAST,524,Kwabre East,Kwabre East,Ashanti,122990188.5,123,m,40,1643,2015
621,Afigya Sekyere,Afigya Sekyere,AFIGYA SEKYERE,523,Afigya Sekyere,Afigya Sekyere,Ashanti,416901955.8,417,m,40,3861,2015
622,Mampong Municipal,Mampong Municipal,MAMPONG MUNICIPAL,505,Mampong,Mampong,Ashanti,670447999.4,670,m,40,2559,2015
623,Sekyere East,Sekyere East,SEKYERE EAST,526,Sekyere East,Sekyere East,Ashanti,239245042.8,239,m,40,957,2015
624,Sekyere Afram Plains,Sekyere Afram Plains,SEKYERE AFRAM PLAINS,529,Sekyere Afram Plains,Sekyere Afram Plains,Ashanti,576942996.7,577,m,40,1179,2015
625,Sekyere Central,Sekyere Central,SEKYERE CENTRAL,519,Sekyere Central,Sekyere Central,Ashanti,1632232263,1632,m,40,2058,2015
626,Ejura Sekye Dumase,Ejura Sekye Dumase,EJURA SEKYE DUMASI,509,Ejura Sekyedumase,Ejura Sekyedumase,Ashanti,1340670001,1341,m,40,2521,2015
627,Offinso North,Offinso North,OFFINSO NORTH,522,Offinso North,Offinso North,Ashanti,945746714.5,946,m,40,1447,2015
628,Asokore Mampong Municipal,Asokore Mampong Municipal,ASOKORE MAMPONG MUNICIPAL,501,Kumasi,Kumasi,Ashanti,23919951.39,24,m,40,5833,2015
629,Asante Akim North,Asante Akim North,ASANTE AKIM NORTH,528,Asante Akim North,Asante Akim North,Ashanti,1126721323,1127,m,40,2564,2015
630,Sekyere Afram Plains North,Sekyere Afram Plains North,SEKYERE AFRAM PLAINS NORTH,529,Sekyere Afram Plains,Sekyere Afram Plains,Ashanti,3529350951,3529,m,40,1877,2015
701,Asunafo South,Asunafo South,ASUNAFO SOUTH,712,Asunafo South,Asunafo South,Brong Ahafo,922743411.7,923,m,40,3264,2015
702,Asunafo North,Asunafo North,ASUNAFO NORTH MUNICIPAL,702,Asunafo North,Asunafo North,Brong Ahafo,1410365078,1410,m,40,3873,2015
703,Asutifi North,Asutifi North,ASUTIFI NORTH,720,Asutifi,Asutifi,Brong Ahafo,935437953.7,935,m,40,2008,2015
704,Dormaa Municipal,Dormaa Municipal,DORMAA CENTRAL MUNICIPAL,706,Dormaa,Dormaa,Brong Ahafo,1208642805,1209,m,40,3740,2015
705,Dormaa East,Dormaa East,DORMAA MUNICIPAL,718,Dormaa East,Dormaa East,Brong Ahafo,569453662.9,569,m,40,1895,2015
706,Tano South,Tano South,TANO SOUTH,710,Tano South,Tano South,Brong Ahafo,488875840,489,m,40,1863,2015
707,Tano North,Tano North,TANO NORTH,709,Tano North,Tano North,Brong Ahafo,836981203.1,837,m,40,3000,2015
708,Sunyani Municipal,Sunyani Municipal,SUNYANI MUNICIPAL,705,Sunyani,Sunyani,Brong Ahafo,506334040.7,506,m,40,3084,2015
709,Sunyani West,Sunyani West,SUNYANI WEST,719,Sunyani West,Sunyani West,Brong Ahafo,1058555593,1059,m,40,3249,2015
710,Berekum,Berekum,BEREKUM MUNICIPAL,703,Berekum,Berekum,Brong Ahafo,862341418.7,862,m,40,4195,2015
711,Jaman South,Jaman South,JAMAN SOUTH,713,Jaman South,Jaman South,Brong Ahafo,754401618.2,754,m,40,2533,2015
712,Jaman North,Jaman North,JAMAN NORTH,715,Jaman North,Jaman North,Brong Ahafo,1030126393,1030,m,40,2772,2015
713,Tain,Tain,TAIN,722,Tain,Tain,Brong Ahafo,1828456892,1828,m,40,2182,2015
714,Wenchi,Wenchi,WENCHI MUNICIPAL,704,Wenchi,Wenchi,Brong Ahafo,1144543956,1145,m,40,2610,2015
715,Techiman Municipal,Techiman Municipal,TECHIMAN MUNICIPAL,708,Techiman,Techiman,Brong Ahafo,648900191.6,649,m,40,4344,2015
716,Nkoranza South,Nkoranza South,NKORANZA SOUTH,707,Nkoranza South,Nkoranza South,Brong Ahafo,922742981.6,923,m,40,3275,2015
717,Nkoranza North,Nkoranza North,NKORANZA NORTH,717,Nkoranza North,Nkoranza North,Brong Ahafo,1386859309,1387,m,40,2309,2015
718,Atebubu Amantin,Atebubu Amantin,ATEBUBU AMANTIN,711,Atebubu,Atebubu,Brong Ahafo,2626467677,2626,m,40,3955,2015
719,Sene West,Sene West,SENE WEST,721,Sene,Sene,Brong Ahafo,3266666490,3267,m,40,2090,2015
720,Pru,Pru,PRU,714,Pru,Pru,Brong Ahafo,3223344004,3223,m,40,4176,2015
721,Kintampo South,Kintampo South,KINTAMPO SOUTH,716,Kintampo South,Kintampo South,Brong Ahafo,1513253818,1513,m,40,2427,2015
722,Kintampo North,Kintampo North,KINTAMPO NORTH MUNICIPAL,701,Kintampo North,Kintampo North,Brong Ahafo,4888872688,4889,m,40,3180,2015
723,Asutifi South,Asutifi South,ASUTIFI SOUTH,720,Asutifi,Asutifi,Brong Ahafo,596779285.9,597,m,40,1438,2015
724,Dormaa West,Dormaa West,DORMAA WEST,706,Dormaa,Dormaa,Brong Ahafo,380443537.9,380,m,40,1248,2015
725,Techiman North,Techiman North,TECHIMAN NORTH,708,Techiman,Techiman,Brong Ahafo,389305015.8,389,m,40,1917,2015
726,Banda,Banda,BANDA,722,Tain,Tain,Brong Ahafo,2296585630,2297,m,40,1268,2015
727,Sene East,Sene East,SENE EAST,721,Sene,Sene,Brong Ahafo,4400691052,4401,m,40,2244,2015
801,Bole,Bole,BOLE,811,Bole,Bole,Northern,6165410715,6165,m,40,2412,2015
802,Sawla/Tuna/Kalba,Sawla/Tuna/Kalba,SAWLA-TUNA-KALBA,808,Sawla Tuna Kalba,Sawla Tuna Kalba,Northern,4223843942,4224,m,40,2438,2015
803,West Gonja,West Gonja,WEST GONJA,825,Gonja West,Gonja West,Northern,4715460617,4715,m,40,1554,2015
804,Gonja Central,Gonja Central,GONJA CENTRAL,805,Gonja Central,Gonja Central,Northern,7559295676,7559,m,40,2452,2015
805,East Gonja,East Gonja,EAST GONJA,816,Gonja East,Gonja East,Northern,8350985095,8351,m,40,5688,2015
806,Kpandai,Kpandai,KPANDAI,813,Kpandai,Kpandai,Northern,1135210117,1135,m,40,2137,2015
807,Nanumba South,Nanumba South,NANUMBA SOUTH,807,Nanumba South,Nanumba South,Northern,1793023655,1793,m,40,4582,2015
808,Nanumba North,Nanumba North,NANUMBA NORTH,806,Nanumba North,Nanumba North,Northern,2265245609,2265,m,40,3514,2015
809,Zabzugu,Zabzugu,ZABZUGU,817,Zabzugu Tatale,Zabzugu Tatale,Northern,1102850613,1103,m,40,2457,2015
810,Yendi Municipal,Yendi Municipal,YENDI MUNICIPAL,802,Yendi,Yendi,Northern,1449458511,1449,m,40,3060,2015
811,Tamale North Sub Metro,Tamale North Sub Metro,TAMALE METROPOLIS,801,Tamale,Tamale,Northern,647672542.7,648,m,40,6269,2015
