District,BuiltAr,BuiltInten,Urbanizati,vaccinations,ITN,Edu_men,Edu_wm,Healthcare,Toilet,Water,Precip,NDVI,Med_Inc,clustnew
Sissala West,0.39875868,0.00019794,0,10,15,17,20,31,29,10,0.106878771,0.247321006,10.91888,1
South Dayi,3.710062447,0.0101525,38.83757313,2,2,1,2,4,3,5,0.104085312,0.253440411,8.272693,2
South Tongu,33.96021728,0.0518781,12.85957931,4,4,4,8,10,11,13,0.097699121,0.28094607,9.596324,2
Suaman,1.749864099,0.00429847,7.935324588,3,4,4,5,9,2,13,0.152482554,0.3722191,9.884354,2
Suhum,8.192811128,0.022414,17.54666291,2,2,2,3,4,1,6,0.134649964,0.432851839,16.69945809,2
Sunyani Municipal,47.69621226,0.0920523,83.09176784,2,3,2,4,4,2,7,0.115817992,0.426866853,47.37673,3
Sunyani West,36.77489851,0.0339143,70.80401539,4,6,5,9,9,3,8,0.114557167,0.397085835,28.2897,1
Tain,20.9370217,0.0111599,35.33284743,5,13,11,20,20,17,13,0.112869288,0.369994939,35.1065,3
Talensi,1.16998426,0.00133874,7.918810978,5,5,6,6,11,4,9,0.119458266,0.259736268,14.39137,2
Tamale,17.02246762,0.0254413,25.09357177,3,6,6,5,11,7,8,0.132686214,0.253921162,8.272693,2
Tano North,17.14954456,0.0200264,49.98687057,3,5,4,8,8,4,11,0.121002301,0.426535727,14.13031069,1
Tano South,11.90579488,0.0238072,52.36595886,2,4,3,5,6,3,7,0.128242105,0.413067981,13.29275,1
Tarkwa-Nsuaem,67.30842032,0.0732584,30.28946583,5,6,5,8,13,6,11,0.137390836,0.319655144,26.24466,3
Tatale-Sangule,0.151908069,0.000134889,10.1002564,7,13,11,8,21,10,6,0.108001534,0.280105329,5.459438221,2
Techiman Municipal,37.14298345,0.0558665,39.79341105,2,4,4,6,7,5,7,0.107751561,0.393369432,47.04751343,3
Techiman North,11.27625279,0.0282498,20.12218241,1,3,3,4,5,4,7,0.114594522,0.411677692,17.19945,1
Tema,77.29637584,0.865821,70.60198509,1,1,1,1,1,1,1,0.098921739,0.171062253,4.090078,2
Tolon,0.831112414,0.000593043,5.100785166,6,14,13,9,24,11,31,0.128847275,0.256133579,10.06735308,1
Twifo-Ati-Mokwa,15.56911639,0.0160248,14.18693033,5,8,6,11,18,5,20,0.139265926,0.393497038,12.59278,2
Twifo-Hemang Lower Denkyira,7.28282337,0.012455,11.02654743,3,4,4,7,9,4,10,0.149524288,0.372344624,8.180155,2
Upper Denkyira East,19.37266072,0.0379313,44.41148194,3,5,3,6,9,3,8,0.139817618,0.422298321,9.126237,2
Upper Denkyira West,36.71939364,0.0622545,0,3,5,4,6,9,5,9,0.143079495,0.387112061,16.082945,1
Upper Manya-Krobo,6.688336986,0.00763715,12.74621317,3,5,3,6,12,8,14,0.124872476,0.335438995,6.949062,2
Upper West Akim,5.483297018,0.0157449,13.89873731,2,3,2,3,5,2,8,0.141610871,0.406333967,11.24771,2
Wa,5.398579056,0.00897229,66.27026321,3,4,4,6,6,10,3,0.108637357,0.251485742,30.18678,3
Wa East,0.495161878,0.000111002,0,20,40,38,39,94,50,66,0.106906709,0.267802423,8.562298,2
Wa West,0.200109667,0.000129843,0,7,12,15,13,25,30,15,0.107190551,0.249807645,13.29275,1
Wassa Amenfi East,38.14645309,0.0240682,6.888042358,8,15,10,16,26,9,36,0.152382836,0.389383946,15.67863,1
Wassa Amenfi West,11.34636421,0.00770537,15.08319632,8,14,10,16,26,5,43,0.14801403,0.391282735,22.15459,3
Wassa East,21.08308715,0.0125633,6.004845746,8,11,11,17,29,15,34,0.124786106,0.366084184,31.47205453,1
Wassa-Amenfi Central,11.83568347,0.00630593,12.34380441,10,19,12,20,35,6,53,0.13659973,0.379697206,22.46458,1
Wenchi,30.69273315,0.026141,36.71759213,4,8,7,12,17,15,16,0.10961308,0.346890809,20.23204,1
West Akim,13.48914437,0.0278984,24.62718296,2,3,2,4,7,2,9,0.13072958,0.389936011,24.21963,1
West Gonja,1.729414936,0.000354931,25.9151564,24,43,43,43,103,56,139,0.109223433,0.296468892,5.7030065,2
West Mamprusi,4.138034217,0.00152389,24.27541014,14,25,20,19,49,16,60,0.125867504,0.243196253,5.112597,2
Yendi,2.789850108,0.00186463,28.2270871,9,13,12,8,24,13,11,0.135062376,0.246070183,6.39706,2
Yilo-Krobo,9.067743177,0.0184142,30.91625212,2,3,2,4,5,3,7,0.125839046,0.459961441,20.81921,1
Zabzugu,0.233704721,0.000205774,15.40800332,6,11,10,7,17,9,5,0.120590815,0.276468946,4.174864761,2
