ID,NAME,LABEL,THEME_NAME,DTT_ID2010,DTT_NM2010,DTT_LB2010,RGN_NM2012,AREA_M2,gdppersqkm,vaccinations,ITN,Edu_men,Edu_wm,Healthcare,Toilet,Water,NAME2
825,Tatale,Tatale,TATALE,817,Zabzugu Tatale,Zabzugu Tatale,Northern,1093300530,1093,7,13,11,8,21,10,6,Tatale-Sangule
826,Mamprugu Moagduri,Mamprugu Moagduri,MAMPRUGU MOAGDURI,818,Mamprusi West,Mamprusi West,Northern,2122327295,2122,11,20,16,19,51,15,52,Mamprugu-Moagduri
901,Builsa North,Builsa North,BUILSA NORTH,1008,Builsa,Builsa,Upper East,816914197.2,817,5,6,6,9,12,6,11,Builsa North
904,Bolgatanga Municipal,Bolgatanga Municipal,BOLGATANGA MUNICIPAL,1001,Bolgatanga,Bolgatanga,Upper East,397479987.6,397,3,3,3,4,4,3,3,Bolgatanga
905,Talensi,Talensi,TALENSI,1009,Talensi Nabdam,Talensi Nabdam,Upper East,839390570.1,839,5,5,6,6,11,4,9,Talensi
906,Bongo,Bongo,BONGO,1005,Bongo,Bongo,Upper East,415219980.5,415,2,3,3,4,4,2,4,Bongo
907,Bawku West,Bawku West,BAWKU WEST,1004,Bawku West,Bawku West,Upper East,1072767143,1073,5,7,8,9,13,6,12,Bawku West
908,Garu Tempane,Garu Tempane,GARU TEMPANE,1006,Garu Tempane,Garu Tempane,Upper East,1062875642,1063,5,8,10,9,13,7,20,Garu-Tempane
909,Bawku Municipal,Bawku Municipal,BAWKU MUNICIPAL,1002,Bawku,Bawku,Upper East,247678178.2,248,1,2,3,2,2,3,4,Bawku
910,Builsa South,Builsa South,BUILSA SOUTH,1008,Builsa,Builsa,Upper East,1241987920,1242,7,10,9,14,27,9,28,Builsa South
911,Nabdam,Nabdam,NABDAM,1009,Talensi Nabdam,Talensi Nabdam,Upper East,245258335.8,245,2,2,2,2,3,1,2,Nabdam
912,Binduri,Binduri,BINDURI,1002,Bawku,Bawku,Upper East,392567406,393,2,3,4,4,4,3,7,Binduri
913,Pusiga,Pusiga,PUSIGA,1002,Bawku,Bawku,Upper East,256239322.7,256,2,3,3,3,2,3,6,Pusiga
1001,Wa West,Wa West,WA WEST,903,Wa West,Wa West,Upper West,1490404932,1490,7,12,15,13,25,30,15,Wa West
1002,Wa Municipal,Wa Municipal,WA MUNICIPAL,901,Wa,Wa,Upper West,579358252.4,579,3,4,4,6,6,10,3,Wa
1003,Wa East,Wa East,WA EAST,902,Wa East,Wa East,Upper West,4295587486,4296,20,40,38,39,94,50,66,Wa East
1004,Sissala East,Sissala East,SISSALA EAST,904,Sissala East,Sissala East,Upper West,5092492185,5092,27,43,40,50,99,51,70,Sissala East
1005,Nadowli-Kaleo,Nadowli-Kaleo,NADOWLI-KALEO,909,Nadowli,Nadowli,Upper West,1130820499,1131,6,8,10,9,15,20,5,Nadowli-Kaleo
1006,Jirapa,Jirapa,JIRAPA,907,Jirapa,Jirapa,Upper West,1187375701,1187,6,7,10,10,15,16,5,Jirapa
1007,Sissala  West,Sissala  West,SISSALA WEST,905,Sissala West,Sissala West,Upper West,2049071501,2049,10,15,17,20,31,29,10,Sissala West
1008,Lambussie Karni,Lambussie Karni,LAMBUSSIE KARNI,906,Lambussie,Lambussie,Upper West,811029671.6,811,4,5,7,8,14,14,5,Lambussie-Karni
1009,Lawra,Lawra,LAWRA,911,Lawra Nandom,Lawra Nandom,Upper West,526693508.7,527,3,4,6,5,8,9,3,Lawra
1010,Daffiama Bussie,Daffiama Bussie,DAFFIAMA BUSSIE,909,Nadowli,Nadowli,Upper West,1455143799,1455,7,10,12,12,24,18,10,Daffiama-Bussie-Issa
1011,Nandom,Nandom,NANDOM,911,Lawra Nandom,Lawra Nandom,Upper West,404108785.6,404,2,3,4,4,7,7,3,Nandom
903,Kasena Nankana East,Kasena Nankana East,KASENA NANKANA EAST,1003,Kasena Nankani East,Kasena Nankani East,Upper East,767672556.7,768,5,6,6,8,12,5,10,Kasena-Nankana
902,Kasena Nankana West,Kasena Nankana West,KASENA NANKANA WEST,1007,Kasena Nankani West,Kasena Nankani West,Upper East,873311894.6,873,5,7,6,9,12,7,6,Kasena-Nankana West
414,Kadjebi,Kadjebi,KADJEBI,605,Kadjebi,Kadjebi,Volta,691797360.6,692,3,6,5,9,14,5,13,Kadjebi
408,Ho Municipal,Ho Municipal,HO MUNICIPAL,604,Ho,Ho,Volta,575356861.5,575,2,4,3,4,7,4,4,Ho
824,Mion,Mion,MION,802,Yendi,Yendi,Northern,2718940610,2719,15,24,22,16,52,24,48,Mion
220,Awutu Senya East Municipal,Awutu Senya East Municipal,AWUTU SENYA EAST MUNICIPAL,299,Awutu Senya 2,Awutu Senya 2,Central,108171208.9,108,1,1,1,1,1,1,1,Awutu Senya East
