FID,ID,NAME,LABEL,THEME_NAME,DTT_ID2010,DTT_NM2010,DTT_LB2010,RGN_NM2012,AREA_M2,gdppersqkm,Precip,NDVI
132,628.000000000000000,Asokore Mampong Municipal,Asokore Mampong Municipal,ASOKORE MAMPONG MUNICIPAL,501.000000000000000,Kumasi,Kumasi,Ashanti,23919951.394199598580599,24,0.133740323639000,0.177998000750000
133,629.000000000000000,Asante Akim North,Asante Akim North,ASANTE AKIM NORTH,528.000000000000000,Asante Akim North,Asante Akim North,Ashanti,1126721323.380000114440918,1127,0.129821552493000,0.410292845414000
134,630.000000000000000,Sekyere Afram Plains North,Sekyere Afram Plains North,SEKYERE AFRAM PLAINS NORTH,529.000000000000000,Sekyere Afram Plains,Sekyere Afram Plains,Ashanti,3529350951.210000038146973,3529,0.126145085887000,0.374039068225000
135,701.000000000000000,Asunafo South,Asunafo South,ASUNAFO SOUTH,712.000000000000000,Asunafo South,Asunafo South,Brong Ahafo,922743411.695000052452087,923,0.121191673012000,0.419425840108000
136,702.000000000000000,Asunafo North,Asunafo North,ASUNAFO NORTH MUNICIPAL,702.000000000000000,Asunafo North,Asunafo North,Brong Ahafo,1410365078.029999971389771,1410,0.168291673064000,0.424174553556000
137,703.000000000000000,Asutifi North,Asutifi North,ASUTIFI NORTH,720.000000000000000,Asutifi,Asutifi,Brong Ahafo,935437953.720999956130981,935,0.134884927603000,0.430871611935000
138,704.000000000000000,Dormaa Municipal,Dormaa Municipal,DORMAA CENTRAL MUNICIPAL,706.000000000000000,Dormaa,Dormaa,Brong Ahafo,1208642805.240000009536743,1209,0.130691120068000,0.402416165331000
139,705.000000000000000,Dormaa East,Dormaa East,DORMAA MUNICIPAL,718.000000000000000,Dormaa East,Dormaa East,Brong Ahafo,569453662.911000013351440,569,0.136631779046000,0.449100485050000
140,706.000000000000000,Tano South,Tano South,TANO SOUTH,710.000000000000000,Tano South,Tano South,Brong Ahafo,488875840.032000005245209,489,0.128242105340000,0.413067980673000
141,707.000000000000000,Tano North,Tano North,TANO NORTH,709.000000000000000,Tano North,Tano North,Brong Ahafo,836981203.093999981880188,837,0.121002300847000,0.426535726715000
142,708.000000000000000,Sunyani Municipal,Sunyani Municipal,SUNYANI MUNICIPAL,705.000000000000000,Sunyani,Sunyani,Brong Ahafo,506334040.675999999046326,506,0.115817992106000,0.426866852910000
143,709.000000000000000,Sunyani West,Sunyani West,SUNYANI WEST,719.000000000000000,Sunyani West,Sunyani West,Brong Ahafo,1058555593.029999971389771,1059,0.114557166700000,0.397085835475000
144,710.000000000000000,Berekum,Berekum,BEREKUM MUNICIPAL,703.000000000000000,Berekum,Berekum,Brong Ahafo,862341418.713999986648560,862,0.122859387705000,0.411628776851000
145,711.000000000000000,Jaman South,Jaman South,JAMAN SOUTH,713.000000000000000,Jaman South,Jaman South,Brong Ahafo,754401618.169999957084656,754,0.120513096671000,0.430478791181000
146,712.000000000000000,Jaman North,Jaman North,JAMAN NORTH,715.000000000000000,Jaman North,Jaman North,Brong Ahafo,1030126392.669999957084656,1030,0.117005481558000,0.411021754128000
147,713.000000000000000,Tain,Tain,TAIN,722.000000000000000,Tain,Tain,Brong Ahafo,1828456891.569999933242798,1828,0.112869288209000,0.369994938953000
148,714.000000000000000,Wenchi,Wenchi,WENCHI MUNICIPAL,704.000000000000000,Wenchi,Wenchi,Brong Ahafo,1144543956.250000000000000,1145,0.109613079893000,0.346890808598000
149,715.000000000000000,Techiman Municipal,Techiman Municipal,TECHIMAN MUNICIPAL,708.000000000000000,Techiman,Techiman,Brong Ahafo,648900191.587000012397766,649,0.107751561280000,0.393369431794000
150,101.000000000000000,Jomoro,Jomoro,JOMORO,306.000000000000000,Jomoro,Jomoro,Western,1493755450.349999904632568,1494,0.000000000000000,0.329542318141000
151,716.000000000000000,Nkoranza South,Nkoranza South,NKORANZA SOUTH,707.000000000000000,Nkoranza South,Nkoranza South,Brong Ahafo,922742981.564000010490417,923,0.107467852882000,0.363649400351000
152,717.000000000000000,Nkoranza North,Nkoranza North,NKORANZA NORTH,717.000000000000000,Nkoranza North,Nkoranza North,Brong Ahafo,1386859308.660000085830688,1387,0.108550659019000,0.378927065337000
153,718.000000000000000,Atebubu Amantin,Atebubu Amantin,ATEBUBU AMANTIN,711.000000000000000,Atebubu,Atebubu,Brong Ahafo,2626467677.250000000000000,2626,0.111555332007000,0.347586602923000
154,719.000000000000000,Sene West,Sene West,SENE WEST,721.000000000000000,Sene,Sene,Brong Ahafo,3266666489.820000171661377,3267,0.116582872383000,0.319933191626000
155,720.000000000000000,Pru,Pru,PRU,714.000000000000000,Pru,Pru,Brong Ahafo,3223344003.650000095367432,3223,0.121261775789000,0.305790963279000
156,721.000000000000000,Kintampo South,Kintampo South,KINTAMPO SOUTH,716.000000000000000,Kintampo South,Kintampo South,Brong Ahafo,1513253817.980000019073486,1513,0.118609197575000,0.380675703427000
157,722.000000000000000,Kintampo North,Kintampo North,KINTAMPO NORTH MUNICIPAL,701.000000000000000,Kintampo North,Kintampo North,Brong Ahafo,4888872688.189999580383301,4889,0.120895851590000,0.310120210697000
158,723.000000000000000,Asutifi South,Asutifi South,ASUTIFI SOUTH,720.000000000000000,Asutifi,Asutifi,Brong Ahafo,596779285.871999979019165,597,0.128171594130000,0.431457127544000
159,724.000000000000000,Dormaa West,Dormaa West,DORMAA WEST,706.000000000000000,Dormaa,Dormaa,Brong Ahafo,380443537.920000016689301,380,0.118836146951000,0.418288395813000
